No,Jabatan,"Nama 
              Kegiatan","Nilai 
              SKKK",Periode,Bidang
26,WAKIL MAHASISWA : PESERTA/PENDENGAR,"KEGIATAN SERVICE LEARNING MK.DIGITAL LEADERSHIP, KELAS B2 (BU JANICE B),GASAL 24/25",2.000,242,PENGABDIAN MASYARAKAT
27,WAKIL MAHASISWA : PESERTA/PENDENGAR,NUNI INTERNATIONAL SEMINAR SERIES #9 COMPLEX NETWORKS: TOPOLOGICAL ANALYSIS OF CONNECTIVIT,7.500,242,PEMBELAJARAN
28,WAKIL MAHASISWA : PESERTA/PENDENGAR,NUNI INTERNATIONAL SEMINAR SERIES #9 FINANCIAL LITERACY AND FINTECH,7.500,242,PEMBELAJARAN
29,WAKIL MAHASISWA : PESERTA/PENDENGAR,NUNI INTERNATIONAL SEMINAR SERIES #9 UNDERSTANDING AND ANALYZING WORK MOTIVATION THROUGH D,7.500,242,PEMBELAJARAN
30,ANGGOTA,PANITIA WISUDA KE 87,6.600,242,ORGANISASI & KEPEMIMPINAN
31,ANGGOTA/ANGGOTA HIMA,TRAINING DIVISI PANITIA 2024,3.300,242,ORGANISASI & KEPEMIMPINAN
32,WAKIL MAHASISWA : PESERTA/PENDENGAR,TRASHURE 2025,4.500,242,PEMBELAJARAN
33,ANGGOTA,PANITIA WISUDA PCU KE 88,3.300,251,ORGANISASI & KEPEMIMPINAN
34,WAKIL MAHASISWA : PESERTA/PENDENGAR,PEMBUATAN APLIKASI DATA JEMAAT UNTUK GEREJA KRISTEN INDONESIA MAJELIS JEMAAT PONDOK TJANDR,1.000,251,PENGABDIAN MASYARAKAT
35,WAKIL MAHASISWA : PESERTA/PENDENGAR,PHOTO CONTEST: PCU LIBRARY THROUGH MY LENS,3.000,251,PARTISIPASI/PRESTASI
36,ANGGOTA/ANGGOTA HIMA DIVISI CREATIVE,"WORKSHOP LINKEDIN 404 : ""WEAK LINKEDIN NOT FOUND""",6.600,251,ORGANISASI & KEPEMIMPINAN
